"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"24961","Native",1,38,"spillover1","tt","spillover1 tt",6,0,1072,1072,-0.5,-0.5,1072
"24963","Native",1,39,"spillover1","tt","spillover1 tt",7,0,2360,2360,0.5,0.5,2360
"24965","Native",1,26,"spillover1","tt","spillover1 tt",6,0,707,707,-0.5,-0.5,707
"24967","Native",1,34,"spillover1","tt","spillover1 tt",6,0,784,784,-0.5,-0.5,784
"24969","Native",1,46,"spillover1","tt","spillover1 tt",6,0,688,688,-0.5,-0.5,688
"24971","Native",1,29,"spillover1","tt","spillover1 tt",5,0,798,798,0.5,-0.5,798
"24973","Native",1,36,"spillover1","tt","spillover1 tt",8,0,1267,1267,-0.5,0.5,1267
"24975","Native",1,30,"spillover1","tt","spillover1 tt",6,0,901,901,-0.5,-0.5,901
"24977","Native",1,40,"spillover1","tt","spillover1 tt",8,0,813,813,-0.5,0.5,813
"24979","Native",1,33,"spillover1","tt","spillover1 tt",5,0,1692,1692,0.5,-0.5,1692
"24981","Native",1,43,"spillover1","tt","spillover1 tt",7,0,1520,1520,0.5,0.5,1520
"24983","Native",1,28,"spillover1","tt","spillover1 tt",8,0,1209,1209,-0.5,0.5,1209
"24985","Native",1,31,"spillover1","tt","spillover1 tt",7,0,2392,2392,0.5,0.5,2392
"24987","Native",1,45,"spillover1","tt","spillover1 tt",5,0,831,831,0.5,-0.5,831
"24989","Native",1,25,"spillover1","tt","spillover1 tt",5,0,1897,1897,0.5,-0.5,1897
"24991","Native",1,41,"spillover1","tt","spillover1 tt",5,0,1572,1572,0.5,-0.5,1572
"24993","Native",1,42,"spillover1","tt","spillover1 tt",6,0,739,739,-0.5,-0.5,739
"24995","Native",1,37,"spillover1","tt","spillover1 tt",5,0,963,963,0.5,-0.5,963
"24997","Native",1,32,"spillover1","tt","spillover1 tt",8,0,1787,1787,-0.5,0.5,1787
"24999","Native",1,48,"spillover1","tt","spillover1 tt",8,0,620,620,-0.5,0.5,620
"25001","Native",1,47,"spillover1","tt","spillover1 tt",7,0,1328,1328,0.5,0.5,1328
"25003","Native",1,44,"spillover1","tt","spillover1 tt",8,0,1380,1380,-0.5,0.5,1380
"25005","Native",1,27,"spillover1","tt","spillover1 tt",7,0,3238,3238,0.5,0.5,3238
"25007","Native",1,35,"spillover1","tt","spillover1 tt",7,0,1982,1982,0.5,0.5,1982
"25009","Native",2,46,"spillover1","tt","spillover1 tt",7,0,3726,3726,0.5,0.5,NA
"25011","Native",2,25,"spillover1","tt","spillover1 tt",6,0,305,305,-0.5,-0.5,305
"25013","Native",2,39,"spillover1","tt","spillover1 tt",8,0,753,753,-0.5,0.5,753
"25015","Native",2,38,"spillover1","tt","spillover1 tt",7,0,1696,1696,0.5,0.5,1696
"25017","Native",2,30,"spillover1","tt","spillover1 tt",7,0,997,997,0.5,0.5,997
