"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"9601","Native",1,38,"wrap_up","fp","wrap_up fp",6,0,137,137,-0.5,-0.5,137
"9603","Native",1,39,"wrap_up","fp","wrap_up fp",7,0,343,343,0.5,0.5,343
"9605","Native",1,26,"wrap_up","fp","wrap_up fp",6,0,503,503,-0.5,-0.5,503
"9607","Native",1,34,"wrap_up","fp","wrap_up fp",6,0,377,377,-0.5,-0.5,377
"9609","Native",1,46,"wrap_up","fp","wrap_up fp",6,0,284,284,-0.5,-0.5,284
"9611","Native",1,29,"wrap_up","fp","wrap_up fp",5,0,424,424,0.5,-0.5,424
"9613","Native",1,36,"wrap_up","fp","wrap_up fp",8,0,339,339,-0.5,0.5,339
"9615","Native",1,30,"wrap_up","fp","wrap_up fp",6,0,542,542,-0.5,-0.5,542
"9617","Native",1,40,"wrap_up","fp","wrap_up fp",8,0,186,186,-0.5,0.5,186
"9619","Native",1,33,"wrap_up","fp","wrap_up fp",5,0,196,196,0.5,-0.5,196
"9621","Native",1,43,"wrap_up","fp","wrap_up fp",7,0,287,287,0.5,0.5,287
"9623","Native",1,28,"wrap_up","fp","wrap_up fp",8,0,185,185,-0.5,0.5,185
"9625","Native",1,31,"wrap_up","fp","wrap_up fp",7,0,311,311,0.5,0.5,311
"9627","Native",1,45,"wrap_up","fp","wrap_up fp",5,0,253,253,0.5,-0.5,253
"9629","Native",1,25,"wrap_up","fp","wrap_up fp",5,0,191,191,0.5,-0.5,191
"9631","Native",1,41,"wrap_up","fp","wrap_up fp",5,0,1171,1171,0.5,-0.5,1171
"9633","Native",1,42,"wrap_up","fp","wrap_up fp",6,0,219,219,-0.5,-0.5,219
"9635","Native",1,37,"wrap_up","fp","wrap_up fp",5,0,949,949,0.5,-0.5,949
"9637","Native",1,32,"wrap_up","fp","wrap_up fp",8,0,323,323,-0.5,0.5,323
"9639","Native",1,48,"wrap_up","fp","wrap_up fp",8,0,406,406,-0.5,0.5,406
"9641","Native",1,47,"wrap_up","fp","wrap_up fp",7,0,178,178,0.5,0.5,178
"9643","Native",1,44,"wrap_up","fp","wrap_up fp",8,0,423,423,-0.5,0.5,423
"9645","Native",1,27,"wrap_up","fp","wrap_up fp",7,0,211,211,0.5,0.5,211
"9647","Native",1,35,"wrap_up","fp","wrap_up fp",7,1,0,NA,0.5,0.5,NA
"9649","Native",2,46,"wrap_up","fp","wrap_up fp",7,1,0,NA,0.5,0.5,NA
"9651","Native",2,25,"wrap_up","fp","wrap_up fp",6,0,154,154,-0.5,-0.5,154
"9653","Native",2,39,"wrap_up","fp","wrap_up fp",8,0,163,163,-0.5,0.5,163
"9655","Native",2,38,"wrap_up","fp","wrap_up fp",7,1,0,NA,0.5,0.5,NA
"9657","Native",2,30,"wrap_up","fp","wrap_up fp",7,0,183,183,0.5,0.5,183
"9659","Native",2,27,"wrap_up","fp","wrap_up fp",8,0,197,197,-0.5,0.5,197
"9661","Native",2,29,"wrap_up","fp","wrap_up fp",6,0,209,209,-0.5,-0.5,209
"9663","Native",2,33,"wrap_up","fp","wrap_up fp",6,1,0,NA,-0.5,-0.5,NA
"9665","Native",2,32,"wrap_up","fp","wrap_up fp",5,0,128,128,0.5,-0.5,128
"9667","Native",2,43,"wrap_up","fp","wrap_up fp",8,0,142,142,-0.5,0.5,142
"9669","Native",2,45,"wrap_up","fp","wrap_up fp",6,1,0,NA,-0.5,-0.5,NA
"9671","Native",2,48,"wrap_up","fp","wrap_up fp",5,0,195,195,0.5,-0.5,195
"9673","Native",2,47,"wrap_up","fp","wrap_up fp",8,0,275,275,-0.5,0.5,275
"9675","Native",2,31,"wrap_up","fp","wrap_up fp",8,1,0,NA,-0.5,0.5,NA
"9677","Native",2,26,"wrap_up","fp","wrap_up fp",7,0,112,112,0.5,0.5,112
"9679","Native",2,42,"wrap_up","fp","wrap_up fp",7,0,97,97,0.5,0.5,97
"9681","Native",2,36,"wrap_up","fp","wrap_up fp",5,0,352,352,0.5,-0.5,352
"9683","Native",2,35,"wrap_up","fp","wrap_up fp",8,1,0,NA,-0.5,0.5,NA
"9685","Native",2,44,"wrap_up","fp","wrap_up fp",5,0,153,153,0.5,-0.5,153
"9687","Native",2,41,"wrap_up","fp","wrap_up fp",6,0,260,260,-0.5,-0.5,260
"9689","Native",2,37,"wrap_up","fp","wrap_up fp",6,0,793,793,-0.5,-0.5,NA
"9691","Native",2,40,"wrap_up","fp","wrap_up fp",5,0,207,207,0.5,-0.5,207
"9693","Native",2,28,"wrap_up","fp","wrap_up fp",5,0,194,194,0.5,-0.5,194
"9695","Native",2,34,"wrap_up","fp","wrap_up fp",7,1,0,NA,0.5,0.5,NA
