"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"21121","Native",1,38,"wrap_up","rp","wrap_up rp",6,0,2394,2394,-0.5,-0.5,2394
"21123","Native",1,39,"wrap_up","rp","wrap_up rp",7,0,3946,3946,0.5,0.5,3946
"21125","Native",1,26,"wrap_up","rp","wrap_up rp",6,0,503,503,-0.5,-0.5,503
"21127","Native",1,34,"wrap_up","rp","wrap_up rp",6,0,1627,1627,-0.5,-0.5,1627
"21129","Native",1,46,"wrap_up","rp","wrap_up rp",6,1,0,NA,-0.5,-0.5,NA
"21131","Native",1,29,"wrap_up","rp","wrap_up rp",5,0,424,424,0.5,-0.5,424
"21133","Native",1,36,"wrap_up","rp","wrap_up rp",8,0,10098,10098,-0.5,0.5,10098
"21135","Native",1,30,"wrap_up","rp","wrap_up rp",6,0,542,542,-0.5,-0.5,542
"21137","Native",1,40,"wrap_up","rp","wrap_up rp",8,0,2030,2030,-0.5,0.5,2030
"21139","Native",1,33,"wrap_up","rp","wrap_up rp",5,0,2761,2761,0.5,-0.5,2761
"21141","Native",1,43,"wrap_up","rp","wrap_up rp",7,0,897,897,0.5,0.5,897
"21143","Native",1,28,"wrap_up","rp","wrap_up rp",8,0,2465,2465,-0.5,0.5,2465
"21145","Native",1,31,"wrap_up","rp","wrap_up rp",7,0,403,403,0.5,0.5,403
"21147","Native",1,45,"wrap_up","rp","wrap_up rp",5,0,644,644,0.5,-0.5,644
"21149","Native",1,25,"wrap_up","rp","wrap_up rp",5,0,2355,2355,0.5,-0.5,2355
"21151","Native",1,41,"wrap_up","rp","wrap_up rp",5,0,7144,7144,0.5,-0.5,7144
"21153","Native",1,42,"wrap_up","rp","wrap_up rp",6,0,219,219,-0.5,-0.5,219
"21155","Native",1,37,"wrap_up","rp","wrap_up rp",5,0,3480,3480,0.5,-0.5,3480
"21157","Native",1,32,"wrap_up","rp","wrap_up rp",8,0,323,323,-0.5,0.5,323
"21159","Native",1,48,"wrap_up","rp","wrap_up rp",8,0,1784,1784,-0.5,0.5,1784
"21161","Native",1,47,"wrap_up","rp","wrap_up rp",7,0,419,419,0.5,0.5,419
"21163","Native",1,44,"wrap_up","rp","wrap_up rp",8,0,2000,2000,-0.5,0.5,2000
"21165","Native",1,27,"wrap_up","rp","wrap_up rp",7,0,5651,5651,0.5,0.5,5651
"21167","Native",1,35,"wrap_up","rp","wrap_up rp",7,1,0,NA,0.5,0.5,NA
"21169","Native",2,46,"wrap_up","rp","wrap_up rp",7,1,0,NA,0.5,0.5,NA
"21171","Native",2,25,"wrap_up","rp","wrap_up rp",6,0,285,285,-0.5,-0.5,285
"21173","Native",2,39,"wrap_up","rp","wrap_up rp",8,0,4549,4549,-0.5,0.5,4549
"21175","Native",2,38,"wrap_up","rp","wrap_up rp",7,1,0,NA,0.5,0.5,NA
"21177","Native",2,30,"wrap_up","rp","wrap_up rp",7,0,695,695,0.5,0.5,695
"21179","Native",2,27,"wrap_up","rp","wrap_up rp",8,0,9085,9085,-0.5,0.5,9085
"21181","Native",2,29,"wrap_up","rp","wrap_up rp",6,0,6373,6373,-0.5,-0.5,6373
"21183","Native",2,33,"wrap_up","rp","wrap_up rp",6,1,0,NA,-0.5,-0.5,NA
"21185","Native",2,32,"wrap_up","rp","wrap_up rp",5,0,128,128,0.5,-0.5,128
"21187","Native",2,43,"wrap_up","rp","wrap_up rp",8,0,2030,2030,-0.5,0.5,2030
"21189","Native",2,45,"wrap_up","rp","wrap_up rp",6,1,0,NA,-0.5,-0.5,NA
"21191","Native",2,48,"wrap_up","rp","wrap_up rp",5,0,323,323,0.5,-0.5,323
"21193","Native",2,47,"wrap_up","rp","wrap_up rp",8,0,422,422,-0.5,0.5,422
"21195","Native",2,31,"wrap_up","rp","wrap_up rp",8,1,0,NA,-0.5,0.5,NA
"21197","Native",2,26,"wrap_up","rp","wrap_up rp",7,0,112,112,0.5,0.5,112
"21199","Native",2,42,"wrap_up","rp","wrap_up rp",7,0,97,97,0.5,0.5,97
"21201","Native",2,36,"wrap_up","rp","wrap_up rp",5,0,677,677,0.5,-0.5,677
"21203","Native",2,35,"wrap_up","rp","wrap_up rp",8,1,0,NA,-0.5,0.5,NA
"21205","Native",2,44,"wrap_up","rp","wrap_up rp",5,0,320,320,0.5,-0.5,320
"21207","Native",2,41,"wrap_up","rp","wrap_up rp",6,0,1977,1977,-0.5,-0.5,1977
"21209","Native",2,37,"wrap_up","rp","wrap_up rp",6,0,1790,1790,-0.5,-0.5,1790
"21211","Native",2,40,"wrap_up","rp","wrap_up rp",5,0,421,421,0.5,-0.5,421
"21213","Native",2,28,"wrap_up","rp","wrap_up rp",5,0,414,414,0.5,-0.5,414
"21215","Native",2,34,"wrap_up","rp","wrap_up rp",7,1,0,NA,0.5,0.5,NA
"21218","Native",3,34,"wrap_up","rp","wrap_up rp",8,0,3847,3847,-0.5,0.5,3847
"21220","Native",3,30,"wrap_up","rp","wrap_up rp",8,0,8973,8973,-0.5,0.5,8973
"21222","Native",3,38,"wrap_up","rp","wrap_up rp",8,0,7568,7568,-0.5,0.5,7568
"21224","Native",3,43,"wrap_up","rp","wrap_up rp",5,0,8277,8277,0.5,-0.5,8277
