"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"32641","Native",1,38,"wrap_up","tt","wrap_up tt",6,0,429,429,-0.5,-0.5,429
"32643","Native",1,39,"wrap_up","tt","wrap_up tt",7,0,343,343,0.5,0.5,343
"32645","Native",1,26,"wrap_up","tt","wrap_up tt",6,0,503,503,-0.5,-0.5,503
"32647","Native",1,34,"wrap_up","tt","wrap_up tt",6,0,672,672,-0.5,-0.5,672
"32649","Native",1,46,"wrap_up","tt","wrap_up tt",6,1,0,NA,-0.5,-0.5,NA
"32651","Native",1,29,"wrap_up","tt","wrap_up tt",5,0,424,424,0.5,-0.5,424
"32653","Native",1,36,"wrap_up","tt","wrap_up tt",8,0,1163,1163,-0.5,0.5,1163
"32655","Native",1,30,"wrap_up","tt","wrap_up tt",6,0,542,542,-0.5,-0.5,542
"32657","Native",1,40,"wrap_up","tt","wrap_up tt",8,0,439,439,-0.5,0.5,439
"32659","Native",1,33,"wrap_up","tt","wrap_up tt",5,0,196,196,0.5,-0.5,196
"32661","Native",1,43,"wrap_up","tt","wrap_up tt",7,0,598,598,0.5,0.5,598
"32663","Native",1,28,"wrap_up","tt","wrap_up tt",8,0,185,185,-0.5,0.5,185
"32665","Native",1,31,"wrap_up","tt","wrap_up tt",7,0,311,311,0.5,0.5,311
"32667","Native",1,45,"wrap_up","tt","wrap_up tt",5,0,495,495,0.5,-0.5,495
"32669","Native",1,25,"wrap_up","tt","wrap_up tt",5,0,191,191,0.5,-0.5,191
"32671","Native",1,41,"wrap_up","tt","wrap_up tt",5,0,1385,1385,0.5,-0.5,1385
"32673","Native",1,42,"wrap_up","tt","wrap_up tt",6,0,219,219,-0.5,-0.5,219
"32675","Native",1,37,"wrap_up","tt","wrap_up tt",5,0,949,949,0.5,-0.5,949
"32677","Native",1,32,"wrap_up","tt","wrap_up tt",8,0,323,323,-0.5,0.5,323
"32679","Native",1,48,"wrap_up","tt","wrap_up tt",8,0,743,743,-0.5,0.5,743
"32681","Native",1,47,"wrap_up","tt","wrap_up tt",7,0,178,178,0.5,0.5,178
"32683","Native",1,44,"wrap_up","tt","wrap_up tt",8,0,1090,1090,-0.5,0.5,1090
"32685","Native",1,27,"wrap_up","tt","wrap_up tt",7,0,432,432,0.5,0.5,432
"32687","Native",1,35,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5,NA
"32689","Native",2,46,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5,NA
"32691","Native",2,25,"wrap_up","tt","wrap_up tt",6,0,154,154,-0.5,-0.5,154
"32693","Native",2,39,"wrap_up","tt","wrap_up tt",8,0,163,163,-0.5,0.5,163
"32695","Native",2,38,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5,NA
"32697","Native",2,30,"wrap_up","tt","wrap_up tt",7,0,183,183,0.5,0.5,183
"32699","Native",2,27,"wrap_up","tt","wrap_up tt",8,0,435,435,-0.5,0.5,435
"32701","Native",2,29,"wrap_up","tt","wrap_up tt",6,0,655,655,-0.5,-0.5,655
"32703","Native",2,33,"wrap_up","tt","wrap_up tt",6,1,0,NA,-0.5,-0.5,NA
"32705","Native",2,32,"wrap_up","tt","wrap_up tt",5,0,128,128,0.5,-0.5,128
"32707","Native",2,43,"wrap_up","tt","wrap_up tt",8,0,376,376,-0.5,0.5,376
"32709","Native",2,45,"wrap_up","tt","wrap_up tt",6,1,0,NA,-0.5,-0.5,NA
"32711","Native",2,48,"wrap_up","tt","wrap_up tt",5,0,195,195,0.5,-0.5,195
"32713","Native",2,47,"wrap_up","tt","wrap_up tt",8,0,275,275,-0.5,0.5,275
"32715","Native",2,31,"wrap_up","tt","wrap_up tt",8,1,0,NA,-0.5,0.5,NA
"32717","Native",2,26,"wrap_up","tt","wrap_up tt",7,0,112,112,0.5,0.5,112
"32719","Native",2,42,"wrap_up","tt","wrap_up tt",7,0,97,97,0.5,0.5,97
"32721","Native",2,36,"wrap_up","tt","wrap_up tt",5,0,352,352,0.5,-0.5,352
"32723","Native",2,35,"wrap_up","tt","wrap_up tt",8,1,0,NA,-0.5,0.5,NA
"32725","Native",2,44,"wrap_up","tt","wrap_up tt",5,0,153,153,0.5,-0.5,153
"32727","Native",2,41,"wrap_up","tt","wrap_up tt",6,0,260,260,-0.5,-0.5,260
"32729","Native",2,37,"wrap_up","tt","wrap_up tt",6,0,793,793,-0.5,-0.5,793
"32731","Native",2,40,"wrap_up","tt","wrap_up tt",5,0,207,207,0.5,-0.5,207
"32733","Native",2,28,"wrap_up","tt","wrap_up tt",5,0,194,194,0.5,-0.5,194
"32735","Native",2,34,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5,NA
"32738","Native",3,34,"wrap_up","tt","wrap_up tt",8,0,763,763,-0.5,0.5,763
"32740","Native",3,30,"wrap_up","tt","wrap_up tt",8,0,1172,1172,-0.5,0.5,1172
"32742","Native",3,38,"wrap_up","tt","wrap_up tt",8,0,474,474,-0.5,0.5,474
"32744","Native",3,43,"wrap_up","tt","wrap_up tt",5,0,500,500,0.5,-0.5,500
"32746","Native",3,47,"wrap_up","tt","wrap_up tt",5,0,723,723,0.5,-0.5,723
"32748","Native",3,25,"wrap_up","tt","wrap_up tt",7,0,1027,1027,0.5,0.5,1027
"32750","Native",3,37,"wrap_up","tt","wrap_up tt",7,0,537,537,0.5,0.5,537
"32752","Native",3,40,"wrap_up","tt","wrap_up tt",6,0,539,539,-0.5,-0.5,539
"32754","Native",3,42,"wrap_up","tt","wrap_up tt",8,0,305,305,-0.5,0.5,305
"32756","Native",3,33,"wrap_up","tt","wrap_up tt",7,0,779,779,0.5,0.5,779
"32758","Native",3,39,"wrap_up","tt","wrap_up tt",5,0,617,617,0.5,-0.5,617
"32760","Native",3,41,"wrap_up","tt","wrap_up tt",7,0,317,317,0.5,0.5,317
"32762","Native",3,27,"wrap_up","tt","wrap_up tt",5,0,536,536,0.5,-0.5,536
