"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"3842","Native",1,24,"reflexive","fp","reflexive fp",4,1,0,NA,-0.5,0.5,NA
"3844","Native",1,12,"reflexive","fp","reflexive fp",4,0,230,230,-0.5,0.5,230
"3846","Native",1,6,"reflexive","fp","reflexive fp",2,1,0,NA,0.5,0.5,NA
"3848","Native",1,7,"reflexive","fp","reflexive fp",3,0,185,185,-0.5,-0.5,185
"3850","Native",1,14,"reflexive","fp","reflexive fp",2,0,202,202,0.5,0.5,202
"3852","Native",1,21,"reflexive","fp","reflexive fp",1,0,183,183,0.5,-0.5,183
"3854","Native",1,19,"reflexive","fp","reflexive fp",3,0,189,189,-0.5,-0.5,189
"3856","Native",1,17,"reflexive","fp","reflexive fp",1,0,297,297,0.5,-0.5,297
"3858","Native",1,10,"reflexive","fp","reflexive fp",2,0,218,218,0.5,0.5,218
"3860","Native",1,23,"reflexive","fp","reflexive fp",3,0,268,268,-0.5,-0.5,268
"3862","Native",1,15,"reflexive","fp","reflexive fp",3,1,0,NA,-0.5,-0.5,NA
"3864","Native",1,1,"reflexive","fp","reflexive fp",1,0,317,317,0.5,-0.5,317
"3866","Native",1,2,"reflexive","fp","reflexive fp",2,0,196,196,0.5,0.5,196
"3868","Native",1,5,"reflexive","fp","reflexive fp",1,0,179,179,0.5,-0.5,179
"3870","Native",1,16,"reflexive","fp","reflexive fp",4,0,228,228,-0.5,0.5,228
"3872","Native",1,3,"reflexive","fp","reflexive fp",3,0,224,224,-0.5,-0.5,224
"3874","Native",1,13,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5,NA
"3876","Native",1,11,"reflexive","fp","reflexive fp",3,0,191,191,-0.5,-0.5,191
"3878","Native",1,9,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5,NA
"3880","Native",1,8,"reflexive","fp","reflexive fp",4,0,211,211,-0.5,0.5,211
"3882","Native",1,4,"reflexive","fp","reflexive fp",4,0,287,287,-0.5,0.5,287
"3884","Native",1,20,"reflexive","fp","reflexive fp",4,0,177,177,-0.5,0.5,177
"3886","Native",1,18,"reflexive","fp","reflexive fp",2,0,318,318,0.5,0.5,318
"3888","Native",1,22,"reflexive","fp","reflexive fp",2,0,285,285,0.5,0.5,285
"3890","Native",2,14,"reflexive","fp","reflexive fp",3,0,250,250,-0.5,-0.5,250
"3892","Native",2,4,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5,NA
"3894","Native",2,19,"reflexive","fp","reflexive fp",4,1,0,NA,-0.5,0.5,NA
"3896","Native",2,1,"reflexive","fp","reflexive fp",2,0,263,263,0.5,0.5,263
"3898","Native",2,5,"reflexive","fp","reflexive fp",2,1,0,NA,0.5,0.5,NA
"3900","Native",2,15,"reflexive","fp","reflexive fp",4,0,289,289,-0.5,0.5,289
"3902","Native",2,7,"reflexive","fp","reflexive fp",4,0,243,243,-0.5,0.5,243
"3904","Native",2,18,"reflexive","fp","reflexive fp",3,1,0,NA,-0.5,-0.5,NA
"3906","Native",2,6,"reflexive","fp","reflexive fp",3,1,0,NA,-0.5,-0.5,NA
"3908","Native",2,22,"reflexive","fp","reflexive fp",3,0,220,220,-0.5,-0.5,220
"3910","Native",2,10,"reflexive","fp","reflexive fp",3,0,194,194,-0.5,-0.5,194
"3912","Native",2,8,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5,NA
"3914","Native",2,24,"reflexive","fp","reflexive fp",1,0,172,172,0.5,-0.5,172
"3916","Native",2,17,"reflexive","fp","reflexive fp",2,0,166,166,0.5,0.5,166
"3918","Native",2,2,"reflexive","fp","reflexive fp",3,1,0,NA,-0.5,-0.5,NA
"3920","Native",2,11,"reflexive","fp","reflexive fp",4,1,0,NA,-0.5,0.5,NA
"3922","Native",2,3,"reflexive","fp","reflexive fp",4,0,231,231,-0.5,0.5,231
"3924","Native",2,21,"reflexive","fp","reflexive fp",2,0,138,138,0.5,0.5,138
"3926","Native",2,20,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5,NA
"3928","Native",2,16,"reflexive","fp","reflexive fp",1,0,188,188,0.5,-0.5,188
"3930","Native",2,13,"reflexive","fp","reflexive fp",2,0,181,181,0.5,0.5,181
"3932","Native",2,9,"reflexive","fp","reflexive fp",2,1,0,NA,0.5,0.5,NA
"3934","Native",2,12,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5,NA
"3936","Native",2,23,"reflexive","fp","reflexive fp",4,0,294,294,-0.5,0.5,294
"3937","Native",3,11,"reflexive","fp","reflexive fp",1,0,244,244,0.5,-0.5,244
"3939","Native",3,21,"reflexive","fp","reflexive fp",3,0,322,322,-0.5,-0.5,322
"3941","Native",3,2,"reflexive","fp","reflexive fp",4,0,153,153,-0.5,0.5,153
"3943","Native",3,20,"reflexive","fp","reflexive fp",2,0,238,238,0.5,0.5,238
"3945","Native",3,9,"reflexive","fp","reflexive fp",3,0,218,218,-0.5,-0.5,218
"3947","Native",3,4,"reflexive","fp","reflexive fp",2,0,317,317,0.5,0.5,317
"3949","Native",3,3,"reflexive","fp","reflexive fp",1,0,321,321,0.5,-0.5,321
"3951","Native",3,1,"reflexive","fp","reflexive fp",3,1,0,NA,-0.5,-0.5,NA
"3953","Native",3,13,"reflexive","fp","reflexive fp",3,0,237,237,-0.5,-0.5,237
"3955","Native",3,18,"reflexive","fp","reflexive fp",4,0,376,376,-0.5,0.5,376
"3957","Native",3,7,"reflexive","fp","reflexive fp",1,0,146,146,0.5,-0.5,146
"3959","Native",3,5,"reflexive","fp","reflexive fp",3,0,303,303,-0.5,-0.5,303
"3961","Native",3,15,"reflexive","fp","reflexive fp",1,0,154,154,0.5,-0.5,154
"3963","Native",3,16,"reflexive","fp","reflexive fp",2,0,328,328,0.5,0.5,328
"3965","Native",3,8,"reflexive","fp","reflexive fp",2,0,244,244,0.5,0.5,244
"3967","Native",3,22,"reflexive","fp","reflexive fp",4,0,142,142,-0.5,0.5,142
"3969","Native",3,17,"reflexive","fp","reflexive fp",3,0,331,331,-0.5,-0.5,331
"3971","Native",3,19,"reflexive","fp","reflexive fp",1,0,214,214,0.5,-0.5,214
"3973","Native",3,23,"reflexive","fp","reflexive fp",1,0,263,263,0.5,-0.5,263
"3975","Native",3,14,"reflexive","fp","reflexive fp",4,0,666,666,-0.5,0.5,NA
"3977","Native",3,24,"reflexive","fp","reflexive fp",2,0,293,293,0.5,0.5,293
"3979","Native",3,10,"reflexive","fp","reflexive fp",4,0,212,212,-0.5,0.5,212
"3981","Native",3,12,"reflexive","fp","reflexive fp",2,0,292,292,0.5,0.5,292
"3983","Native",3,6,"reflexive","fp","reflexive fp",4,0,328,328,-0.5,0.5,328
"3985","Native",4,21,"reflexive","fp","reflexive fp",4,0,316,316,-0.5,0.5,316
"3987","Native",4,14,"reflexive","fp","reflexive fp",1,0,225,225,0.5,-0.5,225
"3989","Native",4,22,"reflexive","fp","reflexive fp",1,0,162,162,0.5,-0.5,162
